Blog	fit	songwriter	size	needed	nature	crowd	bottom	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	era	production	ended	tomorrow	caught	food	evening	obviously	similar	although	camera	meet	including	university	key	http	beats	met	movies	personal	father	fuck	themselves	label	august	zero	acts	chart	entire	hair	excellent	detroit	figure	jazz	cast	focus	store	solo	sonic	questions	nick	meaning	g	april	twitter	theme	score	type	current	date	data	definitions	padding	twin	acoustic	act	imagine	relationship	sex	rose	points	clearly	edition	drum	co	cm	ca	tstyle	cd	moments	kept	minor	december	hall	el	en	ep	recorded	genre	liked	gt	download	click	ben	bed	parker	anyway	vinyl	loud	near	www	language	bowie	audience	field	deluxe	starting	titled	search	throughout	create	understand	bill	excited	per	groove	national	center	buy	several	christmas	ok	melody	smith	fucking	brain	table	k	worked	previous	brought	son	support	awesome	hop	debut	johnny	continue	un	uk	decade	meant	player	interview	inspired	welcome	rhythm	happen	british	floor	rules	wolf	instrumental	history	cave	sounded	win	stories	whose	features	subject	san	mouse	human	character	text	latin	nearly	general	members	para	recording	fans	matt	onto	hearing	plus	copy	unfortunately	ideas	alt	v	expect	hotel	wanna	river	wall	whether	beauty	busy	result	asked	success	tune	slightly	films	beatles	complete	certain	van	elements	produced	included	indie	business	area	aren	building	february	college	singing	becomes	mentioned	coast	overall	orphan	career	began	effect	starts	bar	jones	main	voices	among	collection	mention	bear	alive	metal	ray	cambria	longer	quick	sessions	stream	review	archive	hip	various	became	women	pure	lead	june	golden	service	singer	dave	shadow	begin	choice	internet	wants	ascii	series	november	followed	land	process	length	jam	web	electronic	amount	musical	peel	non	vocals	america	verse	using	beyond	station	feels	culture	chris	popular	michael	ryan	tunes	widow	hits	parts	north	likely	recordings	fantastic	seven	somehow	round	visit	drummer	images	sitting	facebook	absolutely	epic	planet	access	despite	que	brother	october	saturday	news	level	featuring	musicians	folk	feat	bought	perhaps	difficult	straight	episode	possible	possibly	unique	team	spot	industry	image	content	section	pick	action	archives	information	w	session	synth	recent	link	led	lee	standing	doubt	sister	hansi	thoughts	dr	indeed	entirely	okay	mostly	ground	concert	media	site	fully	bass	towards	seeing	himself	classic	shit	digital	effort	question	margin	totally	drums	material	include	pay	spend	giving	enjoyed	pagination	lo	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	joe	events	easily	september	added	recently	pt	due	pm	mountain	built	steve	particularly	january	guitarist	example	desire	brilliant	large	magic	system	listened	ghost	total	south	loved	brothers	certainly	presented	usually	truly	cannot	los	issue	wonderful	damn	noise	perfectly	jeff	immediately	peter	phone	important	f	apparently	mid	mix	add	jack	plenty	approach	games	quickly	gig	based	happened	gives	releases	ya	missed	underground	birthday	remix	july	piano	mike	present	boston	season	punk	bandcamp	via	soundtrack	major	vocal	familiar	lucky	eventually	guitars	title	heaven	event	albums	plays	control	quality	playlist	broadcast	definitely	lyrics	lake	theatre	normal	parent	particular	dj	dad	dan	soft	created	venue	changed	changes	driving	earlier	font	closer	simply
ORGANMYTH	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MarkEOrtega's Journalism Portfolio	5	4	0	2	0	37	0	1	0	1	0	1	0	5	1	0	0	1	0	0	0	0	0	2	0	5	2	4	0	0	0	0	3	3	1	1	0	3	4	0	1	2	0	4	2	3	2	28	0	4	1	2	4	0	0	0	7	0	8	3	1	1	1	0	3	3	0	0	3	0	10	0	0	0	0	2	3	0	0	0	0	4	1	0	0	4	0	0	0	2	3	1	1	5	1	21	0	7	1	2	0	0	0	149	13	0	0	0	0	0	4	0	0	1	0	2	0	1	6	2	6	0	0	12	0	2	1	0	1	0	0	0	0	0	4	0	1	0	0	2	14	5	0	11	10	10	30	0	3	0	10	2	4	2	24	0	1	1	1	7	0	0	13	0	0	0	2	1	0	1	2	0	9	2	0	1	0	0	7	4	2	0	0	11	9	3	0	2	1	0	1	11	3	3	0	0	1	0	3	1	0	1	1	4	2	2	2	0	0	0	2	0	1	5	14	0	3	0	1	4	3	1	0	0	10	2	0	2	8	1	2	6	3	19	0	3	0	0	0	0	0	1	0	1	1	0	0	1	0	10	0	1	2	1	3	6	0	3	10	1	3	1	0	0	1	0	4	15	1	1	1	13	2	0	2	5	4	0	1	4	1	1	0	1	0	2	1	1	1	1	3	4	0	3	0	1	1	0	2	0	4	0	0	5	0	1	0	0	5	1	1	6	0	2	7	32	1	2	7	2	3	0	2	4	2	2	0	0	0	4	11	3	2	1	1	1	1	2	0	1	1	0	3	0	1	3	1	0	2	1	0	0	0	0	2	0	1	0	4	9	1	0	1	2	7	3	1	2	0	3	3	0	0	4	6	0	0	0	3	5	0	6	0	0	0	6	10	0	5	1	0	3	0	3	1	3	5	5	0	6	9	0	2	0	3	4	3	0	2	0	4	1	0	0	0	0	5	0	3	2	0	3	3	0	27	0	1	2	2	2	1	1	0	2	2	3	0	4	1	4	4	0	0	3	4	10	7	2	3	1	0	1	0	0	0	1	1	2	0	0	1	5	0	3	0	3	2	0	1	1	2	0	0	3	4	3	1	0	2	0	5	1	2	52	1	0	0	1	0	1	2	1	11	1	0	1	9	0	0	2
Green Eggs and Ham Mondays 8-10am	0	0	3	0	1	1	3	0	0	2	3	0	11	0	2	0	0	1	6	0	0	0	0	0	5	4	0	2	0	0	0	1	3	0	0	2	0	0	1	0	0	0	3	0	0	3	1	1	0	0	1	0	0	1	1	2	1	1	1	1	0	7	0	1	16	0	3	0	0	0	1	0	1	1	1	1	0	0	0	0	5	0	0	3	0	5	3	1	2	1	0	0	3	3	4	2	2	0	0	1	0	1	0	0	5	0	0	0	0	2	5	0	8	0	0	4	0	1	0	0	1	0	0	0	0	0	1	5	0	1	0	0	2	6	13	0	0	3	13	0	1	0	2	6	0	6	0	1	2	0	0	0	0	0	0	0	3	0	1	1	5	0	22	0	1	0	0	1	0	0	1	0	2	7	2	0	0	2	0	0	0	2	0	0	8	0	0	1	5	0	1	1	0	0	2	4	6	2	0	1	0	0	1	1	3	0	0	1	0	1	14	0	0	0	2	0	0	0	1	2	0	0	0	1	8	0	1	0	0	0	2	0	1	1	6	3	1	2	8	9	5	7	3	0	0	0	1	2	4	2	2	0	6	3	1	12	21	10	0	3	10	0	0	1	2	2	0	4	0	28	1	0	1	1	2	0	2	0	0	0	0	0	0	0	7	0	0	0	0	2	4	2	1	0	0	1	0	0	4	3	0	8	0	0	0	0	1	0	0	2	0	0	1	4	8	2	4	2	0	0	3	0	0	0	0	3	1	0	0	0	4	0	0	0	1	1	2	3	1	2	8	0	0	0	0	0	7	1	0	2	2	1	1	0	1	4	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	1	0	0	0	0	0	4	0	1	1	14	0	3	3	0	3	0	0	11	1	6	9	0	0	0	1	0	0	0	0	2	12	0	0	23	0	1	0	4	0	0	0	1	2	0	0	4	0	0	0	0	0	8	4	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	2	4	9	32	12	3	1	1	0	5	3	0	0	2	0	0	0	7	1	1	1	3	2	0	0	4	0	74	3	0	0	30	1	3	1	1	6	2	21	4	0	0	0	1	0	0	6	0	0
GLI Press	1	0	0	0	3	1	0	1	0	2	1	0	0	0	0	1	1	1	0	1	0	2	1	1	0	0	3	1	0	1	1	0	1	0	0	0	0	1	0	2	0	1	0	0	2	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	29	0	0	3	3	1	0	3	0	0	1	0	0	0	0	0	1	0	0	2	0	3	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	3	0	0	1	0	0	0	2	0	0	0	0	5	0	0	0	3	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0	1	0	4	1	0	0	0	1	0	1	1	0	0	7	0	0	0	2	0	3	0	0	0	0	0	0	0	7	0	0	10	2	0	0	0	0	2	0	1	0	0	0	0	4	3	0	0	1	0	2	1	0	1	0	0	0	0	2	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	6	0	0	0	2	1	1	3	1	0	1	0	1	1	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	2	4	3	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	2	0	1	1	4	0	1	0	1	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	1	0	3	0	0	2	0	30	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	1	0	1	1	1	0	0	0	10	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	2	0	1	1	0	0	2	0	1	0	2	1	1	0	1	3	0	2	0	1	0	1	0	2	0	4	2	0	1	1	0	0	2	3	0	0	0	1	19	0	1	0	0	0	1	0	1	1	0	0	0
turnitup!	3	2	28	1	0	2	12	0	0	1	3	1	0	5	0	12	1	0	37	0	1	15	1	0	1	0	2	1	0	0	0	2	4	3	0	2	4	2	0	2	2	1	1	3	2	3	1	2	0	0	0	0	0	4	9	4	1	0	1	2	1	4	1	0	0	0	27	0	0	1	0	0	9	9	0	0	2	2	2	1	0	1	5	0	2	0	0	0	18	5	2	0	31	1	3	2	0	2	3	6	0	0	1	1	6	0	3	2	0	9	1	1	1	1	0	1	1	2	3	0	0	1	3	5	0	0	6	3	3	1	2	4	3	4	6	0	2	18	2	2	0	3	4	0	0	10	6	3	0	0	3	4	0	0	0	2	1	6	0	7	0	2	4	0	1	0	5	2	0	6	1	2	2	1	1	2	0	18	6	0	0	18	11	0	4	2	1	1	3	0	1	15	0	0	1	2	2	1	0	6	1	0	0	1	10	1	0	4	4	4	3	0	4	0	5	0	0	1	1	1	2	4	0	0	1	0	9	4	1	0	6	3	3	2	4	0	2	1	2	0	0	3	18	1	3	1	1	0	2	11	2	1	3	1	1	0	2	3	7	3	4	4	0	1	1	18	3	1	2	0	0	0	0	1	7	0	30	0	1	5	0	0	1	1	1	5	4	2	5	9	4	6	10	6	2	0	3	4	0	1	4	1	2	1	0	4	0	2	1	0	0	2	1	2	1	0	1	0	0	1	7	1	0	3	0	11	1	2	0	1	1	0	0	0	0	2	4	4	0	0	0	0	3	4	2	1	2	1	1	7	18	1	0	1	1	2	1	0	0	0	0	0	4	1	1	3	19	2	2	0	3	18	1	1	0	0	3	1	1	0	9	2	0	1	0	6	0	0	2	3	135	2	0	0	1	6	0	2	54	1	0	1	1	1	0	3	1	2	1	6	0	2	0	1	2	1	3	4	4	1	0	2	2	2	8	0	3	5	4	4	1	1	2	1	3	2	0	3	1	1	6	0	1	2	1	1	1	1	1	1	0	2	4	0	4	0	2	3	1	0	3	3	0	1	4	1	6	3	2	0	9	7	3	0	16	3	0	1	3	2	0	8	1	0	9	10	1	4	5	4	0	0	0	1	0	2	4	72	1	2
Stories From the City, Stories From the Sea	2	1	0	2	0	0	1	0	3	14	1	1	14	3	3	3	1	2	0	1	1	1	4	4	11	2	0	2	0	0	3	16	1	2	2	2	25	9	4	0	2	4	6	3	0	11	1	2	0	1	12	11	1	3	1	1	3	1	4	4	0	16	1	1	12	0	20	2	1	0	0	3	0	0	41	2	2	0	0	38	15	2	0	5	7	0	0	1	0	6	6	0	5	1	19	28	1	8	3	4	1	0	0	0	2	3	3	1	2	2	0	2	11	17	1	12	0	0	1	3	4	2	1	1	4	1	2	2	1	0	6	26	2	1	18	0	0	0	6	0	0	3	11	2	20	8	2	15	3	7	0	6	2	0	8	4	3	1	5	1	6	2	22	0	19	24	2	4	35	1	0	0	16	3	2	0	0	1	1	2	1	6	2	0	2	2	2	10	15	0	3	12	6	2	9	20	7	10	0	4	1	1	1	1	2	1	3	1	0	1	5	0	1	3	18	10	1	3	2	3	4	1	0	0	20	0	0	1	2	0	5	4	4	0	3	0	6	1	55	3	0	12	0	0	2	4	1	1	11	8	1	1	5	22	1	11	25	2	2	2	19	5	0	5	3	0	0	1	0	18	2	0	1	0	11	0	12	1	1	4	17	1	0	2	7	11	7	1	3	6	4	7	3	10	4	11	3	0	5	3	3	21	0	3	4	0	1	11	1	5	1	9	1	2	5	5	3	0	11	0	9	87	0	6	1	1	0	0	0	6	18	0	0	1	0	1	2	0	0	0	4	1	2	0	5	2	11	1	1	16	0	2	1	3	0	0	3	5	0	0	0	1	9	2	11	3	3	1	6	0	3	0	6	21	0	2	1	0	4	5	0	10	0	1	3	1	3	2	4	6	0	0	9	2	5	3	0	1	1	1	57	7	1	9	1	0	0	0	2	24	1	31	2	2	50	5	8	8	8	3	0	0	15	2	10	0	3	2	11	3	3	0	6	10	1	4	0	1	124	4	5	1	0	8	1	1	2	0	1	1	5	6	8	33	294	23	0	1	4	0	2	19	2	3	5	9	3	0	9	0	2	2	27	1	8	2	3	0	129	46	0	3	24	0	0	0	2	36	6	12	6	0	0	4	10	6	0	0	1	4
Lost in the Shuffle	2	0	0	0	0	0	0	0	4	2	3	0	9	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	8	0	0	0	0	0	0	5	0	1	14	0	0	0	16	3	0	0	0	0	0	0	0	1	1	0	1	0	1	0	7	1	0	10	0	3	0	0	2	0	0	0	0	9	0	0	1	0	1	6	0	0	0	1	1	0	0	0	0	2	0	1	13	5	9	1	0	0	0	0	0	0	0	9	0	0	1	0	3	0	0	0	0	0	13	0	0	0	0	0	1	2	0	0	0	1	5	0	0	0	4	7	1	8	0	0	3	4	0	0	0	7	0	0	4	0	5	0	1	0	0	0	0	0	0	0	0	4	2	2	1	15	1	0	3	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	5	5	0	0	6	17	3	0	1	1	0	0	0	1	0	0	0	0	0	9	0	0	0	0	1	0	0	0	13	0	0	0	0	5	0	0	0	0	0	0	0	3	0	2	0	0	1	21	3	2	0	0	1	0	0	1	1	0	0	0	0	0	7	1	13	6	0	0	0	3	0	0	1	10	0	0	15	0	1	0	0	1	0	0	0	0	0	0	0	8	0	0	4	2	3	0	11	0	5	10	0	1	0	1	2	0	0	0	2	0	1	0	1	0	0	0	1	0	1	2	0	1	5	13	1	1	0	25	0	0	63	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	8	0	0	1	0	0	9	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	3	1	0	0	0	0	0	14	0	0	8	0	0	2	3	1	0	15	0	0	0	0	0	7	1	0	20	1	1	2	2	0	0	0	0	1	4	0	0	0	4	0	17	0	7	2	0	0	0	0	3	0	6	0	0	1	0	0	0	0	0	0	2	1	0	1	2	15	1	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	138	0	0	0	5	0	0	0	0	0	0	8	0	0	0	1	3	0	0	0	3	0
A H T A P O T	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	17	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	27	0	0	0	3	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	6	0	0	1	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Floorshime Zipper Boots	0	12	0	0	1	3	0	0	1	0	0	10	1	3	0	11	0	0	0	2	0	3	19	0	1	0	0	0	0	1	0	0	0	3	0	0	92	3	0	1	6	0	0	1	24	0	0	0	0	0	0	0	0	0	4	1	0	0	3	23	0	0	2	0	3	0	1	0	1	1	1	0	0	0	12	2	0	1	0	0	1	0	0	7	4	0	0	0	0	0	1	0	0	4	0	0	0	122	4	10	1	184	48	0	0	1	0	0	4	0	0	0	1	0	2	2	0	1	3	0	2	2	2	2	0	1	0	1	1	90	2	1	0	5	3	0	0	0	0	0	2	2	0	0	0	1	52	0	4	1	14	0	0	0	0	11	0	4	0	1	1	0	4	8	1	2	1	0	7	2	6	1	0	1	2	0	0	0	0	0	1	0	4	1	0	0	0	0	0	4	0	7	8	1	0	0	3	1	1	4	1	4	0	0	1	0	6	1	1	0	0	16	8	0	39	0	0	0	1	3	0	0	0	0	1	2	0	0	0	2	0	0	0	0	1	0	7	0	6	0	6	2	0	0	0	0	139	2	0	1	10	1	1	0	0	1	0	0	11	1	2	0	0	0	0	0	11	2	1	1	2	17	3	0	22	1	11	1	0	31	2	0	1	3	0	1	0	4	1	1	1	0	0	0	5	10	0	7	0	9	0	4	0	1	1	0	0	2	2	0	0	0	0	0	0	0	0	1	5	1	18	0	0	1	2	5	0	0	0	7	0	0	0	0	2	0	0	0	0	0	10	11	6	1	139	3	2	1	1	4	0	1	1	0	0	0	0	0	2	0	0	3	3	5	0	1	8	0	2	3	0	0	5	3	1	0	0	0	0	0	0	8	184	1	0	4	3	0	0	0	0	3	1	1	0	2	0	2	0	6	0	0	1	1	0	0	3	1	1	0	1	4	0	0	0	1	1	0	1	1	0	1	1	0	1	0	5	1	15	3	0	0	2	0	1	0	0	1	11	1	4	0	6	0	0	0	23	0	4	15	0	0	6	1	0	0	1	5	1	7	2	34	90	1	2	0	3	3	0	0	14	4	3	0	5	0	1	5	0	0	1	2	5	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1
Did Not Chart	2	3	3	6	1	2	0	2	0	4	1	1	0	9	1	46	0	10	2	20	4	2	7	3	3	4	3	0	7	6	4	5	1	3	1	5	0	0	3	0	1	0	12	8	40	2	5	4	4	3	1	7	1	0	0	1	0	12	8	6	2	0	1	0	5	1	1	1	5	2	2	2	0	0	0	4	7	11	1	3	0	4	3	6	2	3	0	0	0	13	0	3	1	2	3	1	1	18	21	3	3	4	5	0	0	1	0	5	29	3	1	1	1	3	11	3	1	5	1	2	0	3	8	2	2	1	7	2	2	35	3	21	8	4	1	13	0	0	4	3	3	1	1	4	0	4	20	1	1	0	26	2	7	0	6	4	3	2	6	9	2	2	0	1	8	0	6	2	1	8	7	1	0	3	3	0	0	2	2	1	3	1	8	22	0	0	3	4	11	0	3	1	1	8	0	1	3	4	1	3	0	1	16	3	1	0	0	5	2	7	0	0	4	0	31	8	0	10	5	2	0	3	0	1	8	0	0	4	2	3	4	2	3	6	5	4	6	1	0	1	2	6	0	1	3	3	5	4	0	5	1	1	9	5	4	1	0	2	4	1	2	0	0	8	3	0	1	0	1	1	1	1	1	3	2	5	10	11	3	13	3	0	4	1	2	0	1	0	4	6	1	4	0	13	4	1	12	7	3	1	1	1	2	4	0	1	2	2	1	0	0	6	0	1	1	2	3	3	1	3	14	1	19	4	6	8	0	2	3	0	3	5	4	1	2	0	13	1	2	3	1	4	0	5	1	2	5	1	2	2	0	0	1	2	4	5	7	1	0	0	2	2	5	0	4	4	26	5	6	0	4	0	0	4	4	1	13	2	2	5	0	1	4	4	0	1	3	2	8	0	0	3	6	0	11	1	3	4	1	3	6	1	2	1	0	1	3	6	0	23	3	11	2	3	1	1	1	3	3	2	1	3	0	0	0	9	2	0	18	2	1	4	2	0	3	2	0	12	3	2	2	5	2	2	3	27	5	4	2	22	1	1	16	1	0	0	8	0	9	3	1	42	2	0	3	10	4	1	3	5	20	0	4	6	31	3	2	2	1	11	4	5	2	2	1	0	1	0	1	10	7	1	5	1	1	0	5	0	5	3
How to be an artist and still pass for normal	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	6	3	0	0	2	3	0	1	0	0	0	0	0	7	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	1	0	1	0	1	1	0	0	3	0	0	1	0	0	2	0	0	0	0	0	4	0	6	3	0	0	0	2	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	2	0	0	0	0	3	2	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	1	0	1	0	0	2	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	6	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	1	1	0	4	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	2	0	0	0	0	6	1	0	0	0	0	0	0	3	0	0	0	4	3	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
adrianoblog	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
